Trend_ID,Product_Group_ID,Trend_Name,Trend_Description,Trend_Start_Date,Trend_End_Date,Sales_Volume,Market_Share,Growth_Rate,Trend_Region,Analysis_Date
1,1,Electronics Sales Boom,"Increased sales of electronics due to holiday season promotions and new product launches.",2023-11-01,2024-01-31,25000,30%,8%,Global,2024-02-10
2,2,Smartphone Market Shift,"Rapid adoption of 5G smartphones driving market growth.",2024-01-15,2024-03-15,18000,25%,10%,North America,2024-03-30
3,3,Home Appliances Demand Surge,"High demand for smart home appliances with energy-saving features.",2024-02-01,2024-04-01,15000,20%,6%,Europe,2024-04-15
4,4,Health and Wellness Products Trend,"Increasing consumer interest in health and wellness products.",2024-03-01,2024-05-01,12000,15%,5%,Asia-Pacific,2024-05-15
5,5,Green Technology Adoption,"Growing adoption of green technologies in consumer electronics.",2024-04-01,2024-06-01,10000,10%,3%,Latin America,2024-06-15
6,1,Electronics Price Drop,"Competitive pricing leads to increased sales of electronics across multiple regions.",2024-05-01,2024-07-01,28000,35%,12%,Global,2024-07-15
7,2,Tablet Market Expansion,"Expansion of tablet market due to remote work and online education trends.",2024-06-01,2024-08-01,20000,28%,9%,North America,2024-08-15
8,3,Smart Home Devices Innovation,"Innovative smart home devices driving market growth.",2024-07-01,2024-09-01,18000,25%,8%,Europe,2024-09-15
9,4,Electric Vehicles Surge,"Increasing sales and adoption of electric vehicles worldwide.",2024-08-01,2024-10-01,15000,20%,6%,Asia-Pacific,2024-10-15
10,5,Online Gaming Boom,"Surge in online gaming leading to increased demand for gaming hardware.",2024-09-01,2024-11-01,12000,15%,5%,Latin America,2024-11-15
11,1,Back-to-School Electronics Sales,"Seasonal increase in electronics sales driven by back-to-school shopping.",2024-10-01,2024-12-01,30000,40%,15%,Global,2024-12-15
12,2,Smartphone Camera Innovation,"Advancements in smartphone camera technology boosting market growth.",2025-01-01,2025-03-01,22000,30%,10%,North America,2025-03-15
13,3,Energy-Efficient Appliances Trend,"Growing preference for energy-efficient appliances.",2025-02-01,2025-04-01,18000,25%,8%,Europe,2025-04-15
14,4,Electric Scooter Market Expansion,"Expansion of electric scooter market in urban areas.",2025-03-01,2025-05-01,15000,20%,6%,Asia-Pacific,2025-05-15
15,5,Virtual Reality Adoption,"Increasing adoption of virtual reality devices in entertainment and education.",2025-04-01,2025-06-01,12000,15%,5%,Latin America,2025-06-15
16,1,Electronics Sales Boom,"Increased sales of electronics due to holiday season promotions and new product launches.",2025-05-01,2025-07-01,32000,35%,12%,Global,2025-07-15
17,2,Smartphone Market Shift,"Rapid adoption of foldable smartphones driving market growth.",2025-06-01,2025-08-01,24000,30%,10%,North America,2025-08-15
18,3,Smart Kitchen Appliances Demand Surge,"High demand for smart kitchen appliances with IoT capabilities.",2025-07-01,2025-09-01,20000,25%,8%,Europe,2025-09-15
19,4,Health and Fitness Wearables Trend,"Increasing popularity of health and fitness wearables.",2025-08-01,2025-10-01,17000,20%,6%,Asia-Pacific,2025-10-15
20,5,Green Energy Technology Adoption,"Growing adoption of green energy technologies in consumer electronics.",2025-09-01,2025-11-01,14000,15%,5%,Latin America,2025-11-15
21,1,Electronics Price Drop,"Competitive pricing leads to increased sales of electronics across multiple regions.",2025-10-01,2025-12-01,35000,40%,15%,Global,2025-12-15
22,2,Tablet Market Expansion,"Expansion of tablet market due to increasing demand for portable computing devices.",2026-01-01,2026-03-01,26000,30%,10%,North America,2026-03-15
23,3,Home Entertainment Systems Innovation,"Innovative home entertainment systems driving market growth.",2026-02-01,2026-04-01,22000,25%,8%,Europe,2026-04-15
24,4,Electric Vehicles Surge,"Continued growth in electric vehicle sales globally.",2026-03-01,2026-05-01,18000,20%,6%,Asia-Pacific,2026-05-15
25,5,Online Streaming Platforms Boom,"Surge in popularity of online streaming leading to increased demand for streaming devices.",2026-04-01,2026-06-01,15000,15%,5%,Latin America,2026-06-15
26,1,Back-to-School Electronics Sales,"Seasonal increase in electronics sales driven by back-to-school shopping.",2026-05-01,2026-07-01,38000,45%,18%,Global,2026-07-15
27,2,Smartphone Camera Innovation,"Advancements in smartphone camera technology boosting market growth.",2026-06-01,2026-08-01,28000,35%,12%,North America,2026-08-15
28,3,Energy-Efficient Appliances Trend,"Growing preference for energy-efficient appliances.",2026-07-01,2026-09-01,24000,30%,10%,Europe,2026-09-15
29,4,Electric Scooter Market Expansion,"Expansion of electric scooter market in urban areas.",2026-08-01,2026-10-01,20000,25%,8%,Asia-Pacific,2026-10-15
30,5,Virtual Reality Adoption,"Increasing adoption of virtual reality devices in entertainment and education.",2026-09-01,2026-11-01,17000,20%,6%,Latin America,2026-11-15
31,1,Electronics Sales Boom,"Increased sales of electronics due to holiday season promotions and new product launches.",2026-10-01,2026-12-01,40000,50%,20%,Global,2026-12-15
32,2,Smartphone Market Shift,"Rapid adoption of 6G smartphones driving market growth.",2027-01-01,2027-03-01,30000,40%,15%,North America,2027-03-15
33,3,Smart Home Devices Innovation,"Innovative smart home devices driving market growth.",2027-02-01,2027-04-01,26000,35%,12%,Europe,2027-04-15
